Id,Label,indegree,closnesscentrality,betweenesscentrality,componentnumber,eigencentrality
Acute Kidney Failure,Acute Kidney Failure,2,0,0,0,0.006544
Libreoffice,Libreoffice,4,0,0,0,0.005283
Roman Catholic,Roman Catholic,3,0,0,0,0.001686
Anterior Cruciate Ligament Reconstruction,Anterior Cruciate Ligament Reconstruction,2,0,0,0,0.012076
Asimadoline,Asimadoline,2,0,0,0,0.000533
Punishment,Punishment,4,0,0,0,0.00763
Benito Mussolini,Benito Mussolini,2,0,0,0,0.00696
Working Time,Working Time,4,0,0,0,0.007964
Radiologist,Radiologist,8,0,0,0,0.010641
Hatta Mari,Hatta Mari,3,0,0,0,0.001839
Signal Processing,Signal Processing,4,0,0,0,0.011285
Tugboat,Tugboat,2,0,0,0,0.003469
Systemics,Systemics,4,0,0,0,0.00755
Circulatory System,Circulatory System,16,0,0,0,0.060029
Michael Roberts (Internet),Michael Roberts (Internet),4,0,0,0,0.014092
Alfred Kastler,Alfred Kastler,6,0,0,0,0.014866
Dwight D. Eisenhower Memorial,Dwight D. Eisenhower Memorial,2,0,0,0,0.000487
Technological Evolution,Technological Evolution,8,0,0,0,0.010256
Adinkra Symbols,Adinkra Symbols,3,0,0,0,0.007182
Methylenedioxypyrovalerone,Methylenedioxypyrovalerone,2,0,0,0,0.000438
Artery,Artery,8,0,0,0,0.031285
Laryngopharyngeal Reflux,Laryngopharyngeal Reflux,3,0,0,0,0.012678
Eurasia,Eurasia,4,0,0,0,0.002285
Location Manager,Location Manager,2,0,0,0,0.006751
Google Maps Navigation,Google Maps Navigation,2,0,0,0,0.0003
Statelessness,Statelessness,2,0,0,0,0.003681
Bn-800 Reactor,Bn-800 Reactor,2,0,0,0,0.012313
Optimization (Mathematics),Optimization (Mathematics),2,0,0,0,0.006322
Abdominal,Abdominal,2,0,0,0,0.012595
Injection (Medicine),Injection (Medicine),10,0,0,0,0.031587
"Committee On Economic, Social And Cultural Rights","Committee On Economic, Social And Cultural Rights",2,0,0,0,0.008676
Aminoglycoside,Aminoglycoside,3,0,0,0,0.002115
World Health Day,World Health Day,2,0,0,0,0.009001
John B. Watson,John B. Watson,4,0,0,0,0.00308
Albert Medal (Royal Society Of Arts),Albert Medal (Royal Society Of Arts),2,0,0,0,0.006959
Scientology And Abortion,Scientology And Abortion,3,0,0,0,0.00057
Arthrodesis,Arthrodesis,4,0,0,0,0.024565
Cultural Feminism,Cultural Feminism,2,0,0,0,0.000527
Vertebrate Trachea,Vertebrate Trachea,6,0,0,0,0.024682
Google'S Ideological Echo Chamber,Google'S Ideological Echo Chamber,2,0,0,0,0.0003
Neurochip,Neurochip,9,0,0,0,0.044561
Peter Geach,Peter Geach,2,0,0,0,0.000714
Massachusetts General Hospital,Massachusetts General Hospital,12,0.277859,0.00003,0,0.035451
New Mexico,New Mexico,11,0,0,0,0.010766
Postgraduate,Postgraduate,2,0,0,0,0.006368
Creativity Techniques,Creativity Techniques,2,0,0,0,0.000315
Cultural Leveling,Cultural Leveling,2,0,0,0,0.000527
B-Mac,B-Mac,2,0,0,0,0.003513
Pineal Gland,Pineal Gland,2,0,0,0,0.012055
Ultra-High-Definition Television,Ultra-High-Definition Television,7,0,0,0,0.017883
Mashup (Web Application Hybrid),Mashup (Web Application Hybrid),3,0,0,0,0.007271
Decoding The Universe,Decoding The Universe,8,0,0,0,0.008325
Jacques De Vaucanson,Jacques De Vaucanson,2,0,0,0,0.000548
Paleolithic,Paleolithic,3,0,0,0,0.006531
Preventive Healthcare,Preventive Healthcare,151,0.39776,0.000419,0,0.694523
Facilities Engineering,Facilities Engineering,2,0,0,0,0.000669
Total Parenteral Nutrition,Total Parenteral Nutrition,4,0,0,0,0.008001
Foreign Policy Of The Dwight D. Eisenhower Administration,Foreign Policy Of The Dwight D. Eisenhower Administration,2,0,0,0,0.000487
"The Information Age: Economy, Society And Culture","The Information Age: Economy, Society And Culture",2,0,0,0,0.007068
Chakma Script,Chakma Script,3,0,0,0,0.007182
Desmethylclozapine,Desmethylclozapine,2,0,0,0,0.000533
Digital News Initiative,Digital News Initiative,2,0,0,0,0.0003
Control Theory,Control Theory,8,0,0,0,0.016353
"Extract, Transform, Load","Extract, Transform, Load",4,0,0,0,0.004254
Carlist Wars,Carlist Wars,2,0,0,0,0.003785
Ciprefadol,Ciprefadol,2,0,0,0,0.000533
Psychotherapist,Psychotherapist,2,0,0,0,0.001339
Sexual Objectification,Sexual Objectification,4,0,0,0,0.024052
Abortion In Laos,Abortion In Laos,3,0,0,0,0.00057
Direct-Broadcast Satellite,Direct-Broadcast Satellite,7,0,0,0,0.018511
Television Station,Television Station,3,0,0,0,0.007114
Public Data Network,Public Data Network,6,0,0,0,0.021566
Saccule,Saccule,2,0,0,0,0.000424
Atc Code N06,Atc Code N06,2,0,0,0,0.006545
Covid-19 Pandemic In Sichuan,Covid-19 Pandemic In Sichuan,4,0,0,0,0.002108
Phonograph Cylinder,Phonograph Cylinder,3,0,0,0,0.010141
Delta Wave,Delta Wave,2,0,0,0,0.006908
Robert N. Clayton,Robert N. Clayton,2,0,0,0,0.006975
Nufenoxole,Nufenoxole,2,0,0,0,0.000533
Alkaline Diet,Alkaline Diet,3,0,0,0,0.01602
History Of Email,History Of Email,3,0,0,0,0.010431
Captain James Cook,Captain James Cook,2,0,0,0,0.000527
Data Link Layer,Data Link Layer,9,0,0,0,0.029158
Pyongyang General Hospital,Pyongyang General Hospital,4,0,0,0,0.002108
Catholic Church In Australia,Catholic Church In Australia,2,0,0,0,0.001676
Unlicensed Assistive Personnel,Unlicensed Assistive Personnel,11,0,0,0,0.01205
Elderly Care,Elderly Care,4,0,0,0,0.012927
Telehealth,Telehealth,70,0.4913,0.002211,0,0.070057
Google Data Centers,Google Data Centers,2,0,0,0,0.0003
Jindai Moji,Jindai Moji,3,0,0,0,0.007182
Sensory Processing,Sensory Processing,2,0,0,0,0.000893
Evacuations Related To The Covid-19 Pandemic,Evacuations Related To The Covid-19 Pandemic,4,0,0,0,0.002108
Chloroquine And Hydroxychloroquine During The Covid-19 Pandemic,Chloroquine And Hydroxychloroquine During The Covid-19 Pandemic,4,0,0,0,0.002108
Sars-Cov-2 Zeta Variant,Sars-Cov-2 Zeta Variant,4,0,0,0,0.002108
Abcanz Armies,Abcanz Armies,3,0,0,0,0.007404
Ionized Jewelry,Ionized Jewelry,3,0,0,0,0.01602
Ascites,Ascites,3,0,0,0,0.012764
Air Quality,Air Quality,2,0,0,0,0.007209
James E. Gunn (Astronomer),James E. Gunn (Astronomer),2,0,0,0,0.006975
Lviv,Lviv,2,0,0,0,0.003566
The Venerable,The Venerable,2,0,0,0,0.009794
Holy See,Holy See,4,0,0,0,0.00394
Bicameralism,Bicameralism,2,0,0,0,0.002325
Nicolaas Bloembergen,Nicolaas Bloembergen,8,0,0,0,0.024786
Vit Signals,Vit Signals,2,0,0,0,0.003513
Psychosis,Psychosis,9,0,0,0,0.014936
Web Service,Web Service,8,0,0,0,0.008713
Marine Electronics,Marine Electronics,2,0,0,0,0.004137
Autoimmunity,Autoimmunity,5,0,0,0,0.020881
Peripheral Vascular Examination,Peripheral Vascular Examination,4,0,0,0,0.011418
Covid-19 Vaccination In Greece,Covid-19 Vaccination In Greece,4,0,0,0,0.002108
Gunn Diode,Gunn Diode,3,0,0,0,0.007764
Mental Health,Mental Health,60,0.337867,0.000302,0,0.13576
Nanoimpellers,Nanoimpellers,2,0,0,0,0.006345
Hyperbaric Medicine,Hyperbaric Medicine,6,0,0,0,0.028408
The Lancet,The Lancet,17,0.310959,0.00004,0,0.04047
2016–2022 Yemen Cholera Outbreak,2016–2022 Yemen Cholera Outbreak,2,0,0,0,0.001213
Virustotal,Virustotal,3,0,0,0,0.007074
Utc,Utc,2,0,0,0,0.006915
Hormone Replacement Therapy,Hormone Replacement Therapy,7,0,0,0,0.030918
Nuclear Fuel Cycle,Nuclear Fuel Cycle,2,0,0,0,0.012313
Covid-19 Pandemic Cases In January 2020,Covid-19 Pandemic Cases In January 2020,4,0,0,0,0.002108
Regurgitation (Digestion),Regurgitation (Digestion),2,0,0,0,0.006241
Yersinia Pestis,Yersinia Pestis,2,0,0,0,0.0013
Wollaston Wire,Wollaston Wire,3,0,0,0,0.007764
Minister Of Mental Health,Minister Of Mental Health,17,0,0,0,0.036836
Cluttering,Cluttering,5,0,0,0,0.009193
Us,Us,4,0,0,0,0.004945
Jens Stoltenberg,Jens Stoltenberg,2,0,0,0,0.001199
Cyprodime,Cyprodime,2,0,0,0,0.000533
Chapter Vi Of The United Nations Charter,Chapter Vi Of The United Nations Charter,2,0,0,0,0.001351
The New Republic,The New Republic,2,0,0,0,0.006425
Buran Programme,Buran Programme,2,0,0,0,0.000518
Competition,Competition,2,0,0,0,0.000288
Systems Engineering,Systems Engineering,6,0,0,0,0.008316
Raeapteek,Raeapteek,2,0,0,0,0.001566
Pediatrician,Pediatrician,6,0,0,0,0.023364
